chunk_size_mb,blocks,matches,reported_time_s,exec_time_s
64,32,524,1.136721,1.3467893600463867
64,64,524,0.548376,0.7259056568145752
64,128,524,0.465693,0.6445679664611816
64,256,524,0.431002,0.606438398361206
64,512,524,0.411993,0.5897917747497559
128,32,524,0.682966,0.8610916137695312
128,64,524,0.54452,0.7216296195983887
128,128,524,0.478852,0.6579453945159912
128,256,524,0.442221,0.6193716526031494
128,512,524,0.428148,0.6068789958953857
256,32,524,0.707518,0.8853955268859863
256,64,524,0.571895,0.7504944801330566
256,128,524,0.505457,0.6844086647033691
256,256,524,0.472183,0.6508970260620117
256,512,524,0.454038,0.6299185752868652
512,32,524,0.761083,0.9404349327087402
512,64,524,0.630174,0.8101539611816406
512,128,524,0.559958,0.7398891448974609
512,256,524,0.527952,0.7070190906524658
512,512,524,0.507903,0.6874523162841797
