chunk_size_mb,blocks,matches,reported_time_s,exec_time_s
64,32,524,0.664397,0.894115686416626
64,64,524,0.436642,0.6208686828613281
64,128,524,0.420329,0.6002871990203857
64,256,524,0.411175,0.5929052829742432
64,512,524,0.405481,0.5854220390319824
128,32,524,0.497554,0.6773936748504639
128,64,524,0.453026,0.6301689147949219
128,128,524,0.435614,0.6179978847503662
128,256,524,0.428606,0.6076648235321045
128,512,524,0.418657,0.5985546112060547
256,32,524,0.526219,0.7068181037902832
256,64,524,0.476915,0.6695308685302734
256,128,524,0.464327,0.6466629505157471
256,256,524,0.452949,0.6333544254302979
256,512,524,0.445013,0.6266915798187256
512,32,524,0.573342,0.7545249462127686
512,64,524,0.53494,0.7195146083831787
512,128,524,0.513041,0.6938211917877197
512,256,524,0.507,0.6874778270721436
512,512,524,0.497694,0.6773838996887207
