Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,Sequential,0.338513,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,MPI (4),0.079906,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,CUDA,0.74029,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,Sequential,0.339256,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,MPI (4),0.079823,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,CUDA,0.566784,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,Sequential,0.338565,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,MPI (4),0.080106,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,CUDA,0.561935,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,Sequential,0.344365,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,MPI (4),0.07928,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,CUDA,0.565077,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,Sequential,0.338478,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,MPI (4),0.079851,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,CUDA,0.585526,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,Sequential,0.338924,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,MPI (4),0.07967,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,CUDA,0.567391,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,Sequential,0.347343,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,MPI (4),0.080166,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,CUDA,0.565978,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,Sequential,0.342014,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,MPI (4),0.079951,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,CUDA,0.566217,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,Sequential,0.342963,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,MPI (4),0.080305,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,CUDA,0.565555,4
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,Sequential,0.343994,5
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,MPI (4),0.079856,5
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,CUDA,0.573364,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,Sequential,0.344893,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,MPI (4),0.081259,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,CUDA,0.571412,5
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,Sequential,0.346559,6
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,MPI (4),0.083756,6
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,CUDA,0.564242,6
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,Sequential,0.343616,7
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,MPI (4),0.079975,7
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,CUDA,0.576019,7
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,Sequential,0.346877,8
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,MPI (4),0.080655,8
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,CUDA,0.585157,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,Sequential,0.34233,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,MPI (4),0.080033,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,CUDA,0.571816,8
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,Sequential,0.351338,9
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,MPI (4),0.080251,9
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,CUDA,0.566509,9
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,Sequential,0.345728,11
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,MPI (4),0.080774,11
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,CUDA,0.566192,11
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,Sequential,0.342197,12
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,MPI (4),0.0805,12
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,CUDA,0.56781,12
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,Sequential,0.344259,13
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,MPI (4),0.080067,13
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,CUDA,0.567042,13
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,Sequential,0.342679,15
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,MPI (4),0.080349,15
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,CUDA,0.569925,15
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,Sequential,0.343664,16
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,MPI (4),0.080202,16
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,CUDA,0.5648,16
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,Sequential,0.34209,18
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,MPI (4),0.079864,18
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,CUDA,0.570759,18
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,Sequential,0.343492,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,MPI (4),0.084177,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,CUDA,0.568941,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,Sequential,0.342479,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,MPI (4),0.0802,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,CUDA,0.582152,23
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,Sequential,0.345884,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,MPI (4),0.080187,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,CUDA,0.57403,26
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,Sequential,0.342665,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,MPI (4),0.08473,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,CUDA,0.571031,29
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,Sequential,0.344157,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,MPI (4),0.080532,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,CUDA,0.564195,33
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,Sequential,0.341529,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,MPI (4),0.080132,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,CUDA,0.567356,37
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,Sequential,0.341626,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,MPI (4),0.079921,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,CUDA,0.564447,41
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,Sequential,0.354163,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,MPI (4),0.080175,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,CUDA,0.573058,46
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,Sequential,0.342195,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,MPI (4),0.080266,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,CUDA,0.575766,52
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,Sequential,0.340713,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,MPI (4),0.080253,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,CUDA,0.564149,58
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,Sequential,0.339253,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,MPI (4),0.07974,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,CUDA,0.566097,65
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,Sequential,0.338071,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,MPI (4),0.079823,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,CUDA,0.568034,73
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,Sequential,0.339945,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,MPI (4),0.08,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,CUDA,0.566937,82
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,Sequential,0.33845,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,MPI (4),0.079994,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,CUDA,0.573199,92
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,Sequential,0.338047,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,MPI (4),0.079717,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,CUDA,0.564817,103
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,Sequential,0.338907,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,MPI (4),0.080403,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,CUDA,0.566533,116
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,Sequential,0.338226,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,MPI (4),0.079681,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,CUDA,0.565238,130
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,Sequential,0.339079,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,MPI (4),0.079792,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,CUDA,0.567406,146
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,Sequential,0.344088,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,MPI (4),0.079667,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,CUDA,0.585591,164
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,Sequential,0.338333,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,MPI (4),0.079677,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,CUDA,0.570672,184
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,Sequential,0.33963,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,MPI (4),0.079997,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,CUDA,0.566766,207
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,Sequential,0.338437,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,MPI (4),0.079867,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,CUDA,0.56193,233
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,Sequential,0.339155,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,MPI (4),0.079592,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,CUDA,0.5611,261
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,Sequential,0.339366,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,MPI (4),0.07965,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,CUDA,0.560906,293
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,Sequential,0.338116,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,MPI (4),0.080681,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,CUDA,0.568447,329
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,Sequential,0.338585,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,MPI (4),0.079533,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,CUDA,0.567349,370
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,Sequential,0.338742,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,MPI (4),0.079689,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,CUDA,0.56688,415
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,Sequential,0.33854,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,MPI (4),0.079562,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,CUDA,0.56556,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,Sequential,0.338309,524
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,MPI (4),0.080156,524
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,CUDA,0.566244,524
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,Sequential,0.338009,589
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,MPI (4),0.079545,589
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,CUDA,0.566771,589
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,Sequential,0.339814,661
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,MPI (4),0.079695,661
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,CUDA,0.56651,661
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,Sequential,0.338171,743
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,MPI (4),0.079652,743
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,CUDA,0.568101,743
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,Sequential,0.339763,834
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,MPI (4),0.079665,834
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,CUDA,0.568481,834
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,Sequential,0.339377,937
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,MPI (4),0.079463,937
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,CUDA,0.570277,937
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,Sequential,0.338178,1053
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,MPI (4),0.079349,1053
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,CUDA,0.580697,1053
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,Sequential,0.338071,1182
