Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,Sequential,0.089844,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,MPI (4),0.030417,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,CUDA,0.51319,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,Sequential,0.089849,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,MPI (4),0.030583,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,CUDA,0.511899,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,Sequential,0.089803,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,MPI (4),0.030314,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,CUDA,0.521546,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,Sequential,0.089631,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,MPI (4),0.030367,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,CUDA,0.512812,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,Sequential,0.089981,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,MPI (4),0.030192,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,CUDA,0.517175,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,Sequential,0.08986,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,MPI (4),0.030369,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,CUDA,0.509597,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,Sequential,0.089958,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,MPI (4),0.03056,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,CUDA,0.520323,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,Sequential,0.090008,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,MPI (4),0.030457,4
