Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,2,0.189182,2,0.061616,2,0.13993,2,0.080433
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,2,0.188258,2,0.060375,2,0.13319,2,0.080195
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,2,0.183412,2,0.060731,2,0.132965,2,0.080873
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,3,0.19306,3,0.060502,3,0.133165,3,0.080453
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,3,0.17343,3,0.061146,3,0.13363,3,0.080839
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,3,0.208972,3,0.060612,3,0.133026,3,0.08036
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,4,0.210631,4,0.060117,4,0.133103,4,0.080238
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,4,0.183221,4,0.060452,4,0.133148,4,0.080347
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,4,0.20988,4,0.060218,4,0.133468,4,0.080376
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,5,0.176156,5,0.060835,5,0.133278,5,0.080038
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,5,0.194041,5,0.06055,5,0.133119,5,0.080351
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,6,0.19204,6,0.060409,6,0.133187,6,0.080191
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,7,0.195549,7,0.060468,7,0.13308,7,0.080281
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,8,0.164837,8,0.060403,8,0.133109,8,0.080229
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,8,0.174258,8,0.060637,8,0.13311,8,0.080281
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,9,0.197197,9,0.060513,9,0.133178,9,0.080288
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,11,0.188446,11,0.060363,11,0.133241,11,0.080252
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,12,0.193875,12,0.060545,12,0.133204,12,0.080341
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,13,0.183081,13,0.060314,13,0.133022,13,0.08039
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,15,0.192007,15,0.060476,15,0.133004,15,0.081141
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,16,0.191375,16,0.060448,16,0.133055,16,0.080246
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,18,0.230823,18,0.060607,18,0.133482,18,0.079999
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,21,0.181196,21,0.060548,21,0.133063,21,0.080343
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,23,0.206158,23,0.060594,23,0.133205,23,0.080279
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,26,0.178569,26,0.060364,26,0.133131,26,0.080184
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,29,0.173822,29,0.060498,29,0.133066,29,0.08031
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,33,0.185861,33,0.060804,33,0.133148,33,0.080426
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,37,0.179075,37,0.060405,37,0.13301,37,0.080152
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,41,0.187507,41,0.060574,41,0.133172,41,0.080374
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,46,0.176397,46,0.060481,46,0.133085,46,0.080373
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,52,0.166584,52,0.060534,52,0.133227,52,0.080266
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,58,0.192746,58,0.060601,58,0.133166,58,0.080271
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,65,0.187381,65,0.060672,65,0.133208,65,0.080328
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,73,0.232853,73,0.060588,73,0.133094,73,0.080435
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,82,0.181617,82,0.060515,82,0.133445,82,0.080527
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,92,0.192316,92,0.060638,92,0.132967,92,0.08023
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,103,0.180117,103,0.060682,103,0.133083,103,0.080007
